timestamp,timestamp_unix,open,high,low,close,volume
2021-12-20,1.639958e+09,46681.24000000,47537.57000000,45558.85000000,46914.16000000,35848.50609000
2021-12-21,1.640045e+09,46914.17000000,49328.96000000,46630.00000000,48889.88000000,37713.92924000
2021-12-22,1.640131e+09,48887.59000000,49576.13000000,48421.87000000,48588.16000000,27004.20220000
2021-12-23,1.640218e+09,48588.17000000,51375.00000000,47920.42000000,50838.81000000,35192.54046000
2021-12-24,1.640304e+09,50838.82000000,51810.00000000,50384.43000000,50820.00000000,31684.84269000
2021-12-25,1.640390e+09,50819.99000000,51156.23000000,50142.32000000,50399.66000000,19135.51613000
2021-12-26,1.640477e+09,50399.67000000,51280.00000000,49412.00000000,50775.49000000,22569.88914000
2021-12-27,1.640563e+09,50775.48000000,52088.00000000,50449.00000000,50701.44000000,28792.21566000
2021-12-28,1.640650e+09,50701.44000000,50704.05000000,47313.01000000,47543.74000000,45853.33924000
2021-12-29,1.640736e+09,47543.74000000,48139.08000000,46096.99000000,46464.66000000,39498.87000000
2021-12-30,1.640822e+09,46464.66000000,47900.00000000,45900.00000000,47120.87000000,30352.29569000
2021-12-31,1.640909e+09,47120.88000000,48548.26000000,45678.00000000,46216.93000000,34937.99796000
2022-01-01,1.640995e+09,46216.93000000,47954.63000000,46208.37000000,47722.65000000,19604.46325000
2022-01-02,1.641082e+09,47722.66000000,47990.00000000,46654.00000000,47286.18000000,18340.46040000
2022-01-03,1.641168e+09,47286.18000000,47570.00000000,45696.00000000,46446.10000000,27662.07710000
2022-01-04,1.641254e+09,46446.10000000,47557.54000000,45500.00000000,45832.01000000,35491.41360000
2022-01-05,1.641341e+09,45832.01000000,47070.00000000,42500.00000000,43451.13000000,51784.11857000
2022-01-06,1.641427e+09,43451.14000000,43816.00000000,42430.58000000,43082.31000000,38880.37305000
2022-01-07,1.641514e+09,43082.30000000,43145.83000000,40610.00000000,41566.48000000,54836.50818000
2022-01-08,1.641600e+09,41566.48000000,42300.00000000,40501.00000000,41679.74000000,32952.73111000
2022-01-09,1.641686e+09,41679.74000000,42786.70000000,41200.02000000,41864.62000000,22724.39426000
2022-01-10,1.641773e+09,41864.62000000,42248.50000000,39650.00000000,41822.49000000,50729.17019000
